[Wed Apr 28 16:07:07 2021] 195 SIGUSR1 sent, 105 SIRUSR2 sent, 390 SIGUSR1 received, 105 SIGUSR2 received, avg 0.028 sec between SIGUSR1, avg 0.105 sec between SIGUSR2
[Wed Apr 28 16:07:08 2021] 195 SIGUSR1 sent, 115 SIRUSR2 sent, 390 SIGUSR1 received, 115 SIGUSR2 received, avg 0.029 sec between SIGUSR1, avg 0.099 sec between SIGUSR2
[Wed Apr 28 16:07:08 2021] 205 SIGUSR1 sent, 115 SIRUSR2 sent, 410 SIGUSR1 received, 115 SIGUSR2 received, avg 0.029 sec between SIGUSR1, avg 0.103 sec between SIGUSR2
[Wed Apr 28 16:07:08 2021] 215 SIGUSR1 sent, 115 SIRUSR2 sent, 430 SIGUSR1 received, 115 SIGUSR2 received, avg 0.029 sec between SIGUSR1, avg 0.107 sec between SIGUSR2
[Wed Apr 28 16:07:09 2021] 217 SIGUSR1 sent, 123 SIRUSR2 sent, 434 SIGUSR1 received, 123 SIGUSR2 received, avg 0.030 sec between SIGUSR1, avg 0.105 sec between SIGUSR2
[Wed Apr 28 16:07:10 2021] 220 SIGUSR1 sent, 130 SIRUSR2 sent, 440 SIGUSR1 received, 130 SIGUSR2 received, avg 0.031 sec between SIGUSR1, avg 0.105 sec between SIGUSR2
[Wed Apr 28 16:07:11 2021] 230 SIGUSR1 sent, 130 SIRUSR2 sent, 460 SIGUSR1 received, 130 SIGUSR2 received, avg 0.031 sec between SIGUSR1, avg 0.111 sec between SIGUSR2
[Wed Apr 28 16:07:12 2021] 230 SIGUSR1 sent, 140 SIRUSR2 sent, 460 SIGUSR1 received, 140 SIGUSR2 received, avg 0.033 sec between SIGUSR1, avg 0.110 sec between SIGUSR2
[Wed Apr 28 16:07:12 2021] 230 SIGUSR1 sent, 150 SIRUSR2 sent, 460 SIGUSR1 received, 150 SIGUSR2 received, avg 0.034 sec between SIGUSR1, avg 0.104 sec between SIGUSR2
[Wed Apr 28 16:07:12 2021] 230 SIGUSR1 sent, 160 SIRUSR2 sent, 460 SIGUSR1 received, 160 SIGUSR2 received, avg 0.034 sec between SIGUSR1, avg 0.099 sec between SIGUSR2
[Wed Apr 28 16:07:12 2021] 230 SIGUSR1 sent, 170 SIRUSR2 sent, 460 SIGUSR1 received, 170 SIGUSR2 received, avg 0.035 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
